DISPLAY_NAME,,WORTH,RESIDENCE,ABBREV,ID,
Bill Gates,78.8,"78,800.00",Washington,WA,53,006d2c
Warren Buffett,70.2,"70,200.00",Nebraska,NE,31,006d2c
Larry Ellison,52.8,"52,800.00",California,CA,6,006d2c
Charles Koch,42.7,"42,700.00",Kansas,KS,20,006d2c
David Koch,42.7,"42,700.00",New York,NY,36,006d2c
Christy Walton & Family,39.1,"39,100.00",Wyoming,WY,56,006d2c
Jim Walton,37.6,"37,600.00",Arkansas,AR,5,006d2c
Alice Walton,36.4,"36,400.00",Texas,TX,48,006d2c
Sheldon Adelson,29.7,"29,700.00",Nevada,NV,32,006d2c
Jacqueline Mars,26.8,"26,800.00",Virginia,VA,51,006d2c
Phil Knight,22.9,"22,900.00",Oregon,OR,41,006d2c
Charles Ergen,18.2,"18,200.00",Colorado,CO,8,31a354
Anne Cox Chambers,17,"17,000.00",Georgia,GA,13,31a355
Ray Dalio,15.4,"15,400.00",Connecticut,CT,9,31a356
Abigail Johnson,13.4,"13,400.00",Massachusetts,MA,25,31a357
Harold Hamm,13.3,"13,300.00",Oklahoma,OK,40,31a358
Jack Taylor & family,12.7,"12,700.00",Missouri,MO,29,31a359
David Tepper,10.4,"10,400.00",New Jersey,NJ,34,31a360
Hank & Doug Meijer,10.1,"10,100.00",Michigan,MI,26,31a361
John Menard Jr,9.1,"9,100.00",Wisconsin,WI,55,31a362
Thomas Frist Jr & family,8.2,"8,200.00",Tennessee,TN,47,31a363
Pierre Omidyar,8.1,"8,100.00",Hawaii,HI,15,31a364
James Goodnight,7.5,"7,500.00",North Carolina,NC,37,31a365
Leslie Wexner,7.5,"7,500.00",Ohio,OH,39,74c476
Micky Arison,7.4,"7,400.00",Florida,FL,12,74c477
Carl Cook,6.7,"6,700.00",Indiana,IN,18,74c478
Ken Griffin,6.6,"6,600.00",Illinois,IL,17,74c479
Bruce Halle,6,"6,000.00",Arizona,AZ,4,74c480
Dennis Washington,5.8,"5,800.00",Montana,MT,30,74c481
Ted Lerner,5,"5,000.00",Maryland,MD,24,74c482
Whitney MacMillan,4.7,"4,700.00",Minnesota,MN,27,74c483
Harry Stine,3.4,"3,400.00",Iowa,IA,19,74c484
Mary Alice Dorrance Malone,3.2,"3,200.00",Pennsylvania,PA,42,74c485
B. Wayne Hughes,2.5,"2,500.00",Kentucky,KY,21,74c486
Scott Simplot,2.3,"2,300.00",Idaho,ID,16,74c476
Anita Zucker,2.2,"2,200.00",South Carolina,SC,45,bae4b3
Jonathan Nelson,2.1,"2,100.00",Rhode Island,RI,44,bae4b4
Tom Benson,1.9,"1,900.00",Louisiana,LA,22,bae4b5
Jim Justice II,1.7,"1,700.00",West Virginia,WV,54,bae4b6
T. Denny Sanford,1.4,"1,400.00",South Dakota,SD,46,bae4b7
(TIE) Bill Alfond / Susan Alfond,1.2,"1,200.00",Maine,ME,23,bae4b8
Jon Huntsman,1.1,"1,100.00",Utah,UT,49,bae4b9
Leslie Lampton,1,"1,000.00",Mississippi,MS,28,bae4b10
Andrea Reimann-Ciardelli,1,"1,000.00",New Hampshire,NH,33,bae4b11
Garry Drummond,0.98,980,Alabama,AL,1,bae4b12
Gary Tharaldson,0.93,930,North Dakota,ND,38,bae4b13
(TIE) Robert Gore / Elizabeth Snyder,0.675,675,Delaware,DE,10,bae4b14
Mack Chase,0.65,650,New Mexico,NM,35,bae4b15
John Abele,0.603,603,Vermont,VT,50,bae4b16
Robert Gillam,0.32,320,Alaska,AK,2,bae4b17
